ID,Valor,Otro
148,93.68,872
149,85.88,366
150,14.75,890
151,27.95,473
152,52.86,731
153,23.44,230
154,28.14,408
155,29.49,978
156,59.62,928
157,64.66,493
158,43.61,600
159,23.79,155
160,41.96,104
161,46.99,809
162,18.17,313
163,58.35,954
164,48.85,471
165,68.89,715
166,47.6,513
167,74.4,449
168,53.74,863
169,39.4,244
170,54.18,390
171,71.84,490
172,19.82,735
173,62.17,593
174,11.17,102
175,85.13,204
176,81.39,389
177,94.69,287
178,94.16,618
179,74.73,107
180,32.16,123
181,63.4,842
182,99.86,966
183,58.78,562
184,31.74,329
185,52.96,353
186,84.52,592
187,26.08,679
188,57.47,312
189,43.08,448
190,96.42,306
191,70.89,577
192,90.23,287
193,21.32,716
194,70.73,489
195,41.29,335
196,71.92,123
197,11.53,319
198,26.15,802
199,84.6,733
200,24.48,259
201,68.77,641
202,48.77,940
203,16.35,294
204,68.79,924
205,72.93,127
206,55.38,388
207,11.17,138
208,19.44,627
209,92.52,121
210,67.78,644
211,45.79,435
212,83.86,662
213,30.0,445
214,50.34,964
215,18.29,772
216,35.67,921
217,87.48,966
218,91.41,364
219,98.83,584
220,86.96,779
221,83.66,145
222,29.12,917
223,74.62,848
224,13.4,647
225,85.27,182
226,65.09,427
227,80.45,902
228,91.48,142
229,26.76,797
230,50.29,184
231,37.03,366
232,38.38,982
233,33.46,737
234,35.45,301
235,40.99,220
236,44.6,566
237,67.47,534
238,70.27,284
239,89.31,834
240,74.3,755
241,47.75,489
242,45.98,733
243,56.75,139
244,74.07,414
245,59.28,439
246,33.29,922
247,66.83,480
248,77.08,694
249,24.96,985
250,21.86,242
251,14.56,634
252,95.3,755
253,51.0,442
254,49.83,798
255,89.85,165
256,28.53,399
257,80.87,178
258,17.94,466
259,18.33,200
260,78.74,760
261,82.29,519
262,87.79,452
263,47.49,509
264,29.87,922
265,97.18,409
266,65.76,535
267,49.2,998
268,24.15,798
269,26.81,603
270,47.09,251
271,51.34,621
272,63.36,290
273,17.64,704
274,72.19,393
275,60.63,899
276,17.56,902
277,76.88,870
278,92.17,374
279,48.52,806
280,30.24,364
281,53.63,985
282,68.24,941
283,76.96,959
284,89.24,109
285,18.75,376
286,99.57,184
287,11.51,462
288,50.3,532
289,15.72,180
290,42.97,556
291,47.74,324
292,15.75,493
293,20.38,465
294,32.93,521
295,45.55,512
296,39.08,385
297,65.91,815
298,87.75,838
299,61.86,553
300,43.63,513
301,23.44,367
302,27.08,254
303,58.59,738
304,69.29,976
305,17.73,553
306,13.09,673
307,52.49,356
308,72.33,211
309,35.26,287
310,15.57,144
311,34.44,378
312,12.79,344
313,10.96,365
314,17.81,557
315,77.87,908
316,55.96,960
317,38.56,824
318,87.12,530
319,49.07,686
320,32.76,977
321,24.7,742
322,77.38,640
323,57.45,724
324,44.12,559
325,69.38,700
326,67.48,961
327,96.28,906
328,84.77,172
329,49.56,686
330,82.03,828
331,30.5,183
332,53.82,555
333,66.63,486
334,99.3,786
335,78.97,931
336,59.76,683
337,57.96,397
338,73.49,108
339,35.47,169
340,95.81,151
341,83.27,212
342,11.32,127
343,83.07,779
344,22.78,368
345,82.26,826
346,98.67,275
347,55.89,332
348,25.16,379
349,89.29,979
350,63.69,280
351,90.77,960
352,80.93,793
353,58.68,504
354,25.04,299
355,43.08,548
356,54.93,385
357,13.51,307
358,18.15,970
359,70.92,602
360,44.87,522
361,63.32,769
362,23.13,204
363,39.66,955
364,97.12,530
365,85.09,868
366,82.15,685
367,54.55,293
368,36.97,201
369,34.61,774
370,10.19,821
371,20.62,252
372,95.82,235
373,73.55,565
374,12.2,375
375,71.07,520
376,32.96,209
377,74.23,309
378,28.02,160
379,46.77,205
380,67.4,166
381,76.15,846
382,19.17,951
383,48.51,650
384,54.31,956
385,33.91,467
386,17.56,863
387,40.08,193
388,66.74,468
389,72.88,520
390,47.52,398
391,61.69,125
392,15.1,992
393,53.61,695
394,83.04,350
395,36.65,879
396,94.24,589
397,39.05,765
398,12.84,164
399,13.1,790
400,73.31,699
401,88.74,959
402,30.66,890
403,12.09,871
404,26.73,338
405,10.25,898
406,80.5,220
407,40.59,186
408,61.17,591
409,69.46,870
410,67.81,535
411,61.69,704
412,76.92,701
413,87.07,665
414,94.55,826
415,88.32,461
416,27.97,680
417,66.49,656
418,32.74,571
419,81.56,528
420,17.41,289
421,41.26,986
422,40.28,538
423,78.34,234
424,83.4,343
425,66.05,109
426,45.49,431
427,43.54,549
428,75.69,451
429,22.53,609
430,14.49,560
431,45.27,495
432,22.66,465
433,58.61,163
434,68.05,816
435,34.82,419
436,40.93,228
437,64.52,713
438,23.63,607
439,94.58,424
440,94.32,431
441,20.34,589
442,45.6,180
443,82.95,100
444,50.24,868
445,67.39,465
446,70.34,569
447,81.08,219
448,87.55,305
449,69.71,846
450,25.63,788
451,79.04,262
452,78.81,935
453,91.0,467
454,45.75,166
455,11.24,427
456,29.91,147
457,37.36,987
458,19.21,782
459,20.79,804
460,38.36,727
461,18.82,245
462,94.69,187
463,75.89,646
464,16.63,342
465,14.82,304
466,17.81,530
467,31.58,472
468,94.58,480
469,23.42,743
470,39.72,808
471,90.42,675
472,92.05,142
473,91.09,140
474,79.81,247
475,27.18,141
476,60.81,353
477,52.74,282
478,57.56,723
479,42.62,593
480,90.41,408
481,23.12,191
482,37.05,230
483,80.44,258
484,27.7,712
485,40.75,393
486,92.19,320
487,70.77,351
488,87.95,738
489,85.25,710
490,67.47,873
491,23.59,886
492,81.69,756
493,60.11,753
494,93.11,620
495,69.85,443
496,16.38,706
497,34.78,202
498,60.28,692
499,69.93,371
500,42.02,707
