ID,Valor,Otro
274,19.35,637
275,44.94,289
276,96.68,298
277,83.0,852
278,31.3,621
279,33.45,855
280,61.83,228
281,93.59,390
282,75.43,362
283,77.35,409
284,91.21,278
285,39.53,659
286,66.4,286
287,34.44,801
288,30.38,277
289,41.56,297
290,71.6,397
291,91.95,554
292,28.97,156
293,80.2,887
294,79.68,273
295,97.94,744
296,98.77,668
297,64.28,198
298,21.93,956
299,32.93,148
300,85.84,506
301,28.41,599
302,53.13,762
303,43.5,133
304,18.61,149
305,51.85,703
306,32.72,524
307,37.82,334
308,62.85,726
309,26.72,553
310,65.13,494
311,66.74,715
312,51.47,803
313,11.87,787
314,38.93,938
315,66.67,283
316,56.65,826
317,89.95,571
318,56.63,286
319,79.99,228
320,88.17,306
321,26.79,650
322,79.02,747
323,29.18,190
324,22.71,153
325,58.62,227
326,10.4,325
327,26.28,492
328,53.11,838
329,17.73,939
330,81.48,584
331,27.14,958
332,89.08,448
333,26.58,901
334,80.75,286
335,64.2,925
336,35.85,578
337,21.99,666
338,14.59,812
339,60.64,353
340,28.25,162
341,65.66,799
342,68.09,602
343,99.39,147
344,52.52,191
345,95.48,563
346,16.6,355
347,38.87,114
348,49.7,424
349,62.87,229
350,36.65,858
351,77.01,385
352,29.94,690
353,72.31,857
354,45.73,435
355,84.3,801
356,58.44,170
357,17.76,990
358,25.35,924
359,72.96,218
360,61.58,626
361,67.74,717
362,71.25,550
363,48.39,524
364,49.89,406
365,79.75,411
366,41.26,544
367,83.23,209
368,14.75,990
369,84.51,220
370,98.03,559
371,34.08,574
372,41.96,550
373,55.5,521
374,65.96,135
375,97.2,875
376,45.65,746
377,15.23,371
378,70.32,897
379,66.23,233
380,29.71,257
381,14.13,691
382,39.26,772
383,42.72,227
384,83.49,186
385,33.6,855
386,86.22,514
387,14.32,637
388,37.12,597
389,35.41,764
390,77.77,465
391,36.61,889
392,47.31,536
393,46.71,442
394,43.44,880
395,79.75,652
396,55.22,308
397,69.83,202
398,65.89,154
399,35.1,207
400,35.2,815
401,66.92,931
402,82.21,478
403,30.87,352
404,57.98,242
405,14.62,883
406,24.41,116
407,66.59,993
408,10.51,330
409,77.48,212
410,21.83,632
411,98.79,220
412,84.14,744
413,17.83,548
414,72.7,869
415,33.06,537
416,53.08,447
417,84.2,708
418,51.41,789
419,64.91,820
420,22.08,812
421,28.9,613
422,42.57,627
423,19.17,500
424,40.91,987
425,66.29,113
426,74.11,639
427,78.46,289
428,18.77,571
429,26.99,388
430,85.8,116
431,39.89,765
432,71.22,323
433,73.45,232
434,91.86,901
435,95.32,289
436,98.36,848
437,57.18,952
438,52.62,470
439,25.39,460
440,16.51,639
441,40.76,263
442,90.56,946
443,63.79,656
444,41.56,827
445,92.49,376
446,17.0,890
447,28.45,908
448,36.2,255
449,85.06,600
450,77.95,975
451,19.53,269
452,70.22,671
453,38.48,517
454,57.77,326
455,77.92,854
456,17.38,978
457,53.78,504
458,49.57,698
459,56.06,715
460,94.85,770
461,91.45,157
462,11.18,483
463,63.18,262
464,28.9,743
465,76.4,655
466,89.3,951
467,25.87,963
468,36.54,700
469,76.62,140
470,13.27,491
471,38.78,695
472,53.41,597
473,40.89,102
474,66.53,833
475,11.58,728
476,85.62,456
477,34.0,485
478,92.74,492
479,61.13,926
480,40.82,729
481,59.32,371
482,73.31,191
483,35.97,959
484,60.94,406
485,11.83,437
486,83.59,306
487,25.45,315
488,30.2,381
489,25.14,830
490,18.3,211
491,16.53,655
492,32.38,133
493,56.07,802
494,48.21,715
495,40.92,500
496,98.77,356
497,52.3,576
498,28.03,887
499,18.57,270
500,71.66,943
501,34.31,373
502,48.83,973
503,61.12,210
504,75.6,664
505,86.73,925
506,79.98,279
507,38.32,753
508,37.93,694
509,16.24,779
510,71.79,234
511,69.75,927
512,69.23,699
513,23.73,508
514,98.54,174
515,22.91,122
516,35.3,732
517,25.79,582
518,55.79,944
519,18.39,697
520,59.04,379
521,46.11,623
522,19.64,269
523,98.03,899
524,80.55,880
525,64.02,569
526,36.18,451
527,68.85,758
528,27.03,612
529,97.73,412
530,64.0,619
531,36.03,150
532,67.47,394
533,40.09,345
534,56.26,786
535,22.99,869
536,24.73,149
537,46.07,266
538,99.33,163
539,35.39,863
540,33.77,560
541,18.11,709
542,66.53,821
543,73.22,761
544,21.38,805
545,91.05,504
546,89.89,638
547,50.6,349
548,77.35,866
549,80.76,872
550,74.58,562
551,52.29,727
552,27.62,108
553,41.91,197
554,19.32,331
555,58.49,598
556,14.57,708
557,60.88,173
558,10.3,136
559,11.03,861
560,47.0,655
561,62.88,483
562,87.65,971
563,47.19,599
564,34.38,598
565,79.72,657
566,79.25,457
567,72.2,672
568,70.79,620
569,13.98,486
570,49.07,544
571,83.69,979
572,94.47,407
573,85.04,243
574,73.89,142
575,83.57,233
576,81.86,681
577,23.28,795
578,67.54,100
579,77.97,619
580,45.5,941
581,81.58,169
582,56.49,475
583,77.79,574
584,22.52,152
585,32.44,627
586,73.36,848
587,33.88,392
588,68.68,294
589,33.07,672
590,39.87,546
591,14.36,135
592,77.11,387
593,70.7,519
594,53.0,706
595,92.38,842
596,93.36,586
597,26.75,150
598,88.65,746
599,53.65,613
600,99.87,203
601,16.97,797
602,78.62,148
603,61.84,925
604,48.91,186
605,41.84,407
606,54.91,606
607,43.91,420
608,31.09,622
609,10.92,768
610,91.77,916
611,43.33,109
612,35.0,405
613,17.43,996
614,28.96,252
615,78.86,559
616,87.07,420
617,24.41,686
618,16.09,698
619,27.74,740
620,49.17,338
621,10.63,973
622,42.87,373
623,27.77,881
624,35.69,451
625,33.76,878
626,36.82,596
627,78.83,935
628,22.54,966
629,37.13,565
630,46.22,722
631,46.62,517
632,47.2,531
633,95.03,951
634,23.59,435
635,71.66,278
636,25.75,994
637,40.78,601
638,76.39,634
639,61.16,566
640,54.95,236
641,51.49,346
642,54.64,186
643,87.49,374
644,11.2,696
645,30.97,570
646,98.51,611
647,72.74,984
648,67.97,947
649,63.12,632
650,44.89,833
651,86.22,958
652,92.9,958
653,99.31,792
654,62.96,155
655,85.02,143
656,44.67,941
657,98.45,101
658,44.97,514
659,22.94,185
660,74.88,751
661,47.86,507
662,47.36,720
663,27.22,116
664,70.31,427
665,56.71,649
666,82.28,919
667,44.7,656
668,45.87,858
669,20.56,421
670,76.95,440
671,66.28,611
672,69.69,446
673,16.96,500
674,35.39,494
675,29.33,409
676,94.61,752
677,40.02,510
678,81.16,740
679,21.07,961
680,38.08,913
681,84.72,166
682,73.81,334
683,46.93,679
684,64.74,469
685,71.51,320
686,27.11,917
687,41.91,383
688,91.58,850
689,85.99,428
690,33.07,272
691,15.93,618
692,42.65,140
693,54.04,419
694,31.16,324
695,41.75,583
696,18.52,146
697,78.8,423
698,73.74,939
699,19.88,347
700,26.11,284
701,35.27,142
702,80.99,793
703,96.75,252
704,94.58,365
705,81.85,724
706,55.4,505
707,53.3,357
708,47.52,648
709,83.03,425
710,32.61,576
711,92.54,296
712,90.82,202
713,76.75,161
714,21.3,406
715,72.87,186
716,98.53,460
717,58.59,794
718,18.02,965
719,67.56,233
720,84.21,350
721,11.35,653
722,34.34,654
723,80.27,876
724,94.66,586
725,69.89,698
726,50.37,969
727,81.77,400
728,22.22,342
729,11.89,215
730,37.52,579
731,61.29,351
732,81.57,621
733,59.92,448
734,49.31,165
735,86.49,450
736,27.95,811
737,77.15,672
738,54.95,370
739,86.4,982
740,20.75,926
741,14.45,194
742,13.43,446
743,62.82,305
744,61.68,275
745,51.74,283
746,31.49,296
747,20.4,672
748,59.65,793
749,82.8,881
750,53.03,463
751,90.48,625
752,32.78,487
753,19.95,956
754,23.56,674
755,30.05,721
756,80.88,425
757,28.65,404
758,72.16,664
759,96.73,281
760,54.32,469
761,28.81,915
762,60.42,123
763,58.04,594
764,74.42,197
765,36.62,633
766,45.63,864
767,90.31,203
768,84.42,964
769,40.54,575
770,79.57,687
771,80.3,707
772,45.98,513
773,12.36,202
774,33.09,949
775,94.54,885
776,48.5,903
777,65.71,500
778,31.7,101
779,15.03,190
780,43.68,196
781,59.06,854
782,94.97,598
783,33.71,135
784,60.4,464
785,55.41,388
786,80.09,749
787,57.12,109
788,52.36,135
789,72.34,634
790,99.6,146
791,12.99,387
792,53.76,642
793,33.45,929
794,30.85,871
795,93.45,274
796,14.36,991
797,44.03,788
798,43.89,475
799,15.94,600
800,34.05,263
801,68.21,946
802,57.25,901
803,93.05,683
804,92.94,565
805,50.88,675
806,98.57,460
807,27.36,868
808,80.35,156
809,75.06,139
810,51.46,823
811,36.8,399
812,48.41,589
813,90.94,892
814,10.36,635
815,25.05,677
816,64.3,586
817,81.98,524
818,24.98,551
819,55.41,596
820,74.55,892
821,26.89,743
822,62.29,257
823,91.97,612
824,65.42,295
825,47.45,383
826,73.72,402
827,45.41,665
828,36.76,702
829,43.67,487
830,98.36,627
831,17.8,996
832,40.84,916
833,31.96,668
834,81.01,703
835,34.81,791
836,55.49,648
837,99.86,240
838,10.87,677
839,33.62,486
840,89.05,460
841,41.65,276
842,62.26,244
843,25.79,132
844,33.33,417
845,98.68,376
846,10.87,663
847,40.96,742
848,62.1,729
849,81.93,507
850,99.47,159
851,33.44,508
852,53.84,825
853,54.92,868
854,66.74,413
855,98.86,240
856,25.96,822
857,35.07,834
858,24.54,341
859,23.81,710
860,19.27,798
861,68.22,529
862,75.25,848
863,13.36,301
864,17.83,909
865,45.07,387
866,54.2,283
867,73.44,332
868,56.45,396
869,52.73,453
870,90.05,662
871,84.96,548
872,72.57,270
873,24.48,709
874,48.02,851
875,60.43,805
876,37.3,235
877,10.52,820
878,94.73,615
879,59.67,954
880,66.29,470
881,74.58,324
882,99.61,589
883,50.05,468
884,37.73,706
885,41.84,243
886,93.63,320
887,74.14,963
888,93.59,154
889,51.82,525
890,47.76,913
891,85.64,956
892,84.34,812
893,57.8,127
894,77.99,150
895,94.13,692
896,79.17,344
897,25.78,834
898,63.04,247
899,95.79,899
900,28.29,768
901,91.38,289
902,23.48,940
903,73.24,861
904,25.21,719
905,25.06,504
906,89.7,113
907,59.44,623
908,74.95,922
909,12.47,677
910,15.33,119
911,85.13,449
912,82.9,545
913,63.8,374
914,60.53,815
915,90.0,472
916,40.84,996
917,18.42,281
918,98.2,349
919,13.38,119
920,42.71,149
921,11.43,664
922,45.33,788
923,63.28,400
924,72.46,853
925,25.6,663
926,93.66,618
927,77.94,246
928,73.19,294
929,66.49,386
930,44.78,198
931,24.65,116
932,99.0,783
933,50.79,186
934,46.73,576
935,78.9,714
936,50.62,404
937,41.89,830
938,20.31,639
939,69.71,449
940,28.6,325
941,20.72,667
942,81.91,579
943,97.66,749
944,86.74,328
945,55.1,503
946,40.82,514
947,74.12,902
948,37.65,168
949,37.92,159
950,13.54,938
951,50.97,336
952,39.37,884
953,96.22,695
954,20.89,683
955,19.94,192
956,76.56,151
957,94.26,182
958,21.39,394
959,32.48,185
960,71.34,345
961,44.59,542
962,24.18,241
963,22.34,411
964,14.3,153
965,68.09,451
966,31.47,210
967,50.59,726
968,87.1,249
969,13.2,721
970,95.85,322
971,82.95,611
972,59.53,867
973,19.45,912
974,65.56,261
975,53.42,489
976,44.61,746
977,83.76,538
978,85.82,302
979,29.66,601
980,63.12,842
981,39.66,332
982,77.9,947
983,38.57,915
984,20.83,171
985,76.79,138
986,18.53,451
987,29.47,689
988,89.76,556
989,14.53,198
990,81.24,466
991,13.78,541
992,63.27,634
993,74.66,308
994,91.33,699
995,27.54,807
996,85.11,382
997,59.65,607
998,64.92,247
999,98.5,609
1000,30.9,796
1001,74.06,952
1002,28.58,757
1003,12.66,265
1004,39.42,708
1005,52.23,382
1006,14.25,459
1007,84.05,173
1008,93.64,142
1009,74.28,700
1010,48.22,936
1011,49.96,821
1012,37.49,425
1013,13.33,733
1014,32.06,517
1015,31.98,587
1016,66.25,809
1017,28.83,534
1018,37.24,401
1019,87.54,389
1020,65.98,522
1021,76.82,344
1022,83.18,134
1023,71.09,917
1024,93.12,441
1025,86.11,439
1026,20.13,297
1027,37.59,847
1028,26.28,769
1029,93.82,869
1030,71.79,757
1031,40.27,915
1032,19.1,323
1033,40.29,149
1034,59.25,264
1035,68.25,629
1036,46.14,411
1037,76.32,829
1038,96.27,625
1039,37.81,979
1040,83.34,932
1041,89.85,611
1042,98.08,392
1043,51.95,993
1044,53.67,583
1045,65.4,533
1046,90.99,700
1047,73.66,292
1048,14.98,288
1049,42.99,378
1050,93.9,630
1051,57.28,500
1052,63.52,698
1053,52.99,403
1054,69.06,786
1055,58.14,339
1056,26.25,720
1057,94.4,293
1058,86.03,791
1059,23.47,146
1060,34.84,185
1061,24.61,442
1062,85.46,438
1063,93.22,838
1064,46.19,384
1065,46.31,527
1066,68.75,244
1067,20.11,393
1068,97.26,148
1069,50.01,923
1070,11.9,825
1071,52.19,397
1072,54.36,596
1073,43.1,770
1074,65.33,745
1075,45.86,390
1076,93.32,771
1077,20.54,271
1078,36.26,556
1079,89.21,540
1080,77.99,859
1081,28.23,398
1082,70.86,499
1083,13.45,891
1084,98.57,988
1085,55.76,682
1086,79.13,503
1087,49.59,761
1088,49.1,588
1089,54.83,215
1090,99.33,490
1091,47.96,612
1092,47.04,213
1093,12.26,209
1094,25.66,291
1095,51.66,399
1096,11.96,834
1097,92.43,938
1098,80.55,412
1099,72.48,435
1100,74.76,355
1101,62.84,482
1102,59.29,389
1103,21.16,654
1104,54.79,123
1105,79.24,216
1106,78.9,794
1107,49.88,794
1108,28.53,518
1109,76.9,979
1110,18.88,588
1111,66.67,547
1112,70.61,631
1113,98.73,989
1114,97.96,121
1115,92.83,343
1116,29.27,155
1117,69.19,272
1118,71.51,303
1119,56.87,815
1120,84.84,548
1121,55.96,532
1122,29.9,294
1123,60.12,111
1124,21.69,457
1125,42.87,240
1126,95.97,901
1127,64.8,709
1128,51.7,536
1129,60.05,381
1130,29.77,339
1131,32.48,802
1132,81.89,733
1133,83.53,150
1134,46.08,587
1135,94.54,829
1136,52.14,363
1137,14.29,459
1138,88.34,409
1139,60.3,334
1140,12.51,440
1141,21.53,899
1142,40.54,486
1143,15.42,752
1144,58.99,438
1145,77.41,145
1146,72.55,759
1147,40.0,686
1148,81.5,145
1149,15.69,404
1150,48.1,701
1151,90.68,169
1152,59.86,500
1153,91.21,496
1154,27.81,574
1155,59.25,673
1156,24.9,319
1157,25.02,764
1158,72.73,523
1159,18.04,617
1160,98.96,414
1161,56.13,560
1162,91.92,435
1163,89.25,128
1164,15.34,289
1165,60.38,272
1166,63.25,949
1167,80.13,272
1168,16.98,961
1169,80.34,219
1170,21.5,372
1171,73.17,258
1172,20.54,974
1173,77.28,794
1174,37.87,960
1175,41.28,208
1176,32.02,214
1177,49.68,509
1178,40.72,646
1179,81.27,161
1180,74.92,937
1181,78.97,586
1182,88.11,921
1183,81.9,403
1184,33.07,289
1185,98.97,279
1186,33.62,711
1187,59.96,172
1188,96.89,367
1189,87.52,223
1190,98.53,775
1191,86.78,125
1192,14.58,917
1193,93.91,353
1194,43.35,548
1195,73.44,721
1196,30.78,711
1197,50.88,301
1198,72.14,426
1199,83.08,860
1200,13.86,861
1201,48.98,273
1202,99.8,352
1203,62.92,715
1204,38.44,463
1205,99.15,925
1206,97.88,914
1207,70.59,228
1208,78.85,991
1209,48.69,878
1210,25.06,749
1211,78.12,592
1212,79.66,732
1213,75.39,175
1214,78.48,854
1215,64.06,254
1216,50.35,712
1217,27.99,710
1218,10.4,330
1219,30.98,600
1220,65.57,360
1221,35.9,261
1222,18.12,219
1223,10.07,506
1224,24.18,974
1225,40.52,841
1226,41.5,860
1227,26.73,197
1228,38.78,661
1229,34.49,643
1230,12.32,798
1231,74.25,654
1232,92.52,686
1233,76.97,185
1234,48.66,679
1235,40.95,176
1236,20.17,619
1237,27.6,607
1238,64.91,426
1239,45.39,558
1240,13.61,784
1241,73.24,540
1242,63.23,118
1243,82.04,884
1244,70.89,492
1245,82.37,413
1246,24.82,477
1247,54.38,233
1248,80.1,978
1249,88.42,373
1250,35.04,951
1251,15.4,655
1252,71.12,743
1253,18.24,437
1254,21.63,229
1255,62.26,451
1256,60.14,260
1257,85.3,474
1258,53.59,129
1259,96.02,396
1260,99.81,901
1261,76.45,851
1262,46.4,705
1263,90.85,422
1264,74.0,803
1265,20.15,155
1266,13.93,865
1267,44.58,867
1268,33.7,542
1269,45.74,948
1270,53.54,540
1271,50.78,519
1272,60.48,451
1273,60.34,678
1274,76.28,718
1275,16.2,854
1276,55.11,208
1277,38.16,213
1278,39.12,563
1279,69.74,690
1280,74.08,885
1281,29.43,620
1282,84.73,258
1283,12.27,274
1284,78.03,473
1285,60.3,372
1286,67.26,115
1287,69.95,195
1288,52.18,555
1289,10.55,906
1290,87.22,719
1291,89.98,402
1292,97.65,998
1293,39.29,782
1294,55.28,269
1295,21.58,992
1296,81.04,196
1297,34.89,504
1298,48.0,495
1299,45.77,799
1300,87.75,525
1301,46.96,276
1302,39.32,544
1303,11.15,417
1304,64.4,263
1305,65.39,738
1306,87.26,833
1307,39.29,398
1308,82.72,444
1309,79.24,445
1310,52.96,699
1311,28.77,780
1312,90.39,835
1313,96.28,536
1314,33.47,126
1315,83.97,589
1316,69.98,765
1317,51.48,219
1318,95.27,234
1319,26.74,957
1320,42.07,170
1321,45.35,861
1322,87.22,994
1323,36.27,854
1324,48.01,232
1325,53.16,649
1326,80.96,607
1327,45.68,245
1328,95.35,115
1329,94.96,964
1330,38.03,597
1331,81.45,899
1332,71.62,355
1333,92.45,637
1334,20.57,599
1335,18.69,953
1336,11.91,303
1337,50.71,478
1338,46.41,867
1339,75.56,556
1340,94.85,184
1341,93.88,851
1342,33.86,827
1343,87.59,815
1344,29.99,241
1345,93.72,913
1346,61.26,391
1347,45.76,397
1348,65.67,600
1349,71.23,585
1350,77.96,574
1351,74.35,209
1352,96.64,620
1353,38.7,278
1354,58.78,952
1355,22.42,655
1356,10.21,586
1357,59.89,496
1358,47.77,655
1359,32.46,790
1360,72.92,926
1361,35.19,747
1362,52.63,832
1363,25.0,432
1364,84.94,806
1365,70.69,679
1366,43.26,793
1367,89.6,849
1368,27.92,171
1369,96.69,476
1370,73.98,810
1371,69.76,252
1372,69.3,811
1373,91.16,915
1374,73.9,226
1375,90.18,189
1376,76.76,619
1377,26.47,434
1378,25.9,190
1379,14.7,300
1380,12.49,926
1381,71.62,349
1382,11.93,805
1383,52.21,410
1384,23.66,514
1385,21.44,463
1386,67.05,341
1387,76.21,220
1388,92.85,281
1389,92.38,772
1390,94.63,702
1391,92.21,881
1392,65.17,897
1393,15.1,365
1394,71.53,823
1395,86.67,118
1396,47.16,542
1397,93.24,812
1398,47.45,648
1399,59.01,652
1400,70.61,474
1401,25.24,177
1402,73.25,558
1403,33.06,201
1404,77.18,531
1405,65.52,205
1406,60.81,397
1407,43.14,150
1408,24.45,504
1409,30.23,651
1410,89.12,410
1411,60.81,321
1412,13.52,218
1413,97.83,890
1414,61.29,985
1415,38.43,756
1416,90.44,573
1417,78.06,407
1418,28.74,928
1419,86.13,158
1420,90.62,460
1421,56.59,547
1422,79.52,601
1423,30.81,605
1424,23.25,316
1425,75.4,731
1426,92.21,127
1427,72.7,557
1428,85.21,949
1429,32.6,826
1430,26.53,848
1431,55.72,389
1432,59.22,981
1433,86.38,540
1434,16.88,389
1435,17.34,248
1436,85.43,153
1437,79.36,771
1438,39.21,811
1439,67.72,287
1440,43.83,720
1441,50.38,247
1442,53.03,689
1443,12.53,872
1444,48.42,250
1445,67.4,689
1446,30.64,555
1447,95.52,445
1448,83.4,744
1449,41.37,430
1450,58.68,146
1451,74.52,964
1452,53.2,851
1453,59.63,213
1454,32.44,230
1455,65.13,405
1456,48.94,320
1457,38.16,737
1458,83.91,664
1459,35.83,531
1460,32.19,523
1461,13.28,206
1462,88.32,481
1463,26.3,742
1464,97.42,133
1465,50.83,669
1466,98.56,603
1467,21.89,236
1468,14.09,494
1469,20.24,900
1470,72.44,674
1471,13.33,113
1472,94.56,744
1473,76.57,430
1474,32.44,471
1475,63.48,496
1476,58.17,356
1477,35.52,554
1478,99.66,253
1479,11.45,407
1480,42.51,444
1481,93.62,393
1482,20.7,403
1483,88.84,389
1484,13.74,420
1485,38.91,230
1486,60.0,996
1487,85.03,901
1488,60.3,602
1489,62.63,632
1490,94.48,197
1491,78.64,680
1492,54.38,988
1493,22.57,237
1494,70.6,857
1495,26.46,790
1496,12.09,744
1497,11.01,842
1498,27.61,264
1499,95.27,242
1500,30.14,315
1501,73.73,917
1502,99.55,323
1503,44.37,957
1504,91.72,180
1505,72.32,950
1506,87.85,876
1507,38.87,441
1508,57.13,248
1509,81.9,882
1510,63.91,575
1511,66.94,464
1512,41.34,621
1513,98.76,569
1514,74.54,807
1515,37.35,948
1516,45.57,610
1517,53.31,232
1518,23.68,425
1519,99.9,856
1520,44.7,848
1521,38.63,549
1522,86.68,946
1523,88.5,749
1524,63.43,518
1525,95.24,738
1526,22.39,904
1527,20.93,612
1528,23.68,471
1529,12.79,519
1530,58.29,961
1531,77.92,170
1532,45.84,968
1533,43.55,554
1534,56.72,950
1535,45.31,439
1536,28.71,515
1537,27.85,165
1538,28.45,967
1539,56.1,572
1540,79.61,509
1541,94.87,962
1542,39.98,341
1543,28.86,128
1544,60.65,239
1545,31.07,316
1546,32.4,984
1547,78.85,303
1548,32.59,979
1549,85.91,496
1550,91.77,825
1551,94.12,410
1552,73.83,807
1553,92.89,963
1554,14.42,879
1555,62.02,619
1556,37.16,462
1557,64.28,851
1558,28.64,802
1559,76.6,482
1560,72.38,118
1561,47.51,929
1562,30.53,270
1563,28.18,967
1564,81.17,506
1565,38.43,715
1566,59.98,724
1567,30.83,604
1568,77.77,215
1569,51.47,690
1570,53.46,990
1571,62.18,164
1572,40.91,905
1573,93.57,840
1574,81.23,361
1575,24.31,333
1576,64.39,162
1577,58.63,118
1578,92.79,625
1579,61.56,575
1580,34.12,920
1581,73.21,115
1582,57.17,676
1583,44.24,968
1584,66.48,997
1585,85.2,714
1586,97.45,324
1587,32.71,934
1588,64.68,547
1589,32.55,143
1590,82.75,604
1591,59.43,353
1592,57.6,702
1593,91.5,677
1594,28.78,577
1595,32.66,723
1596,62.63,531
1597,24.61,511
1598,71.18,568
1599,30.59,378
1600,53.12,812
1601,92.04,874
1602,19.49,321
1603,59.53,849
1604,43.03,176
1605,50.45,479
1606,51.85,618
1607,90.49,718
1608,16.35,438
1609,13.57,666
1610,64.02,212
1611,44.68,542
1612,47.2,761
1613,90.08,169
1614,55.57,482
1615,21.68,631
1616,39.21,820
1617,81.66,801
1618,79.21,433
1619,49.88,728
1620,45.07,839
1621,28.63,943
1622,38.69,552
1623,37.96,540
1624,81.67,533
1625,72.58,240
1626,89.88,103
1627,24.38,980
1628,77.8,514
1629,47.77,803
1630,97.46,387
1631,25.26,280
1632,13.89,391
1633,61.4,871
1634,92.04,493
1635,21.1,176
1636,17.42,120
1637,71.51,945
1638,21.17,256
1639,81.42,161
1640,52.24,382
1641,39.71,757
1642,63.39,380
1643,66.25,741
1644,72.77,275
1645,16.38,638
1646,28.16,937
1647,71.53,673
1648,28.52,163
1649,74.41,369
1650,42.73,615
1651,13.45,929
1652,45.82,592
1653,96.83,148
1654,58.13,682
1655,85.01,695
1656,71.07,957
1657,50.85,568
1658,82.65,645
1659,94.57,161
1660,41.06,284
1661,37.13,908
1662,91.36,400
1663,84.72,473
1664,22.25,534
